TextName,StandNameEn,StandNameGa,Latitude,Longitude,Offenses,AssociatedPeople
Addrigolege,Adrigoole,Eadargóil,51.5945,-9.2147,"Military action, Military action, Military action",Callahane McDonogh Callahane
Aghamillaw,Aghamilla,Achadh Meille,51.6288,-8.92966,Confederacy,Teige O Hea
Aghanagh,Lackavunaknick,Leaca Bhun an Chnoic,51.9048,-8.89316,Confederacy,Owen McEagane
Aghigoill,Ahyohil Beg/Mór,Achadh Eochaille Beag/Mór,51.7058,-8.87861,Confederacy,Dermot Mcffenine Reagh
Aghlianane,Aghalinane,Áth Uí Leannáin,51.7474,-8.97492,Military action,Thomas Roche
Aglis,Aglish,An Eaglais,51.8847,-8.76368,"Confederacy, Confederacy",Teige Mc Cormock Carthy
Annaharlike,Anaharlick,Áth na hArlaice,51.785,-9.01775,"Military action, Military action, Military action",Dauid McTeige O Croaly
Ardirriuingy,Arderrawinny,Ard Doire Mhuine,51.5276,-9.61774,"Military action, Military action, Military action",fflorence O'Mahoony
Ardtullie,Ardtully,Ard Tuilithe,51.9028,-9.48373,"Arson, Robbery, Words, Lost by debts, Captivity, Military action, Military action, Military action","donnogh mc ffynine Cartie, Daniell Mcffenine Carthy"
Artagh Reagh,Aultaghreagh,Alltach Riabhach,51.7773,-9.09436,"Military action, Military action, Military action",Moile murry McSweiny
Ballen=clan,Ballinclare,Baile an Chláir,52.1487,-10.0715,,
Ballerevin,Ballyvireen,Baile Uí Mhirín,51.5697,-9.07243,Multiple killing,
Balliban,Ballybane East/West,An Baile Bán Thoir/Thiar,51.6089,-9.41172,"Military action, Military action, Military action",Thomas ffitz Edmond ffitz Richard
Ballibeggane Castle,Ballybeggan,Baile Uí Bheagáin,52.27891188,-9.668537911,Military action,Cornelius Carty
Ballimony parish,Ballymoney par.,Baile Uí Mhoinigh,51.7169,-8.98815,"Military action, Confederacy, Confederacy",Randoll oge Hurly
Ballimore,Ballymore,An Baile Mór,51.6982,-8.68845,"Military action, Military action, Military action, Military action, Military action, Military action","John McDaniell Carthy, Teige McDaniell Carthy"
Ballin Crow,Colla,An Caladh,51.5083,-9.56172,Military action,Thomas May
Ballinacrawne,Ballymacrown,Baile Mhic Eiriúin,51.4822,-9.33203,"Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action","Teige O'Driskall, Enias O Dully, [sons of] fflorence Driskall"
Ballingorneagh,Barleyhill East/West,Baile na gCoirneach Thoir/Thiar,51.5911,-9.06626,"Confederacy, Confederacy, Confederacy",Richard o Doniuane
Ballinkarrige,Ballynacarriga,Béal na Carraige,51.7046,-9.02579,"Military action, Military action, Military action, Killing, Military action",Randoll Hurly
Ballinward,Ballinvard,Baile an Bhaird,51.6755,-9.0015,"Military action, Military action, Military action, Confederacy, Confederacy, Confederacy","William Hurly, James Hurly"
Ballionrane,Ballyourane,Baile Uí Óráin,51.6146,-9.33049,"Military action, Military action, Military action",[sons of] Owen McCarthy
Ballisod,Ballyrisode,Baile Riosóid,51.5066,-9.66786,Military action,Cornelius O Mahony alias Idroglie
Ballivacky,Ballyvackey, Baile an Bhacaigh,51.6258,-8.94162,"Killing, Confederacy, Killing, Confederacy",Donnah O Hey
Ballyhunder,Ballyhander,Baile Shandair,51.6894,-8.59548,"Robbery, Confederacy","Donnogh oge Carthy, Thomas Suttons"
Ballymodan parish,Ballymodan,Baile Uí Bhuadáin,51.7305,-8.75283,"Killing, Robbery, Lost by debts",Daniell Poole
Ballyuilone,Ballyvolane,Baile an Mhulláin,51.7012,-8.64327,"Military action, Military action, Military action",Daniell McCarthy
Baltimore,Baltimore,Dún na Séad,51.4763,-9.37703,"Killing, Robbery, Lost by debts",Thomas Numan
Bandon,Bandon,Droichead na Bandan,51.7443,-8.74191,"Military action, Robbery, Captivity, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Confederacy, Military action, Confederacy, Captivity, Confederacy, Military action, Death, Confederacy, Confederacy, Confederacy, Assault, Robbery, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Assault, Confederacy, Confederacy, Confederacy, Robbery, Stripping, Confederacy, Confederacy, Military action, Confederacy, Military action, Confederacy, Military action, Confederacy, Military action, Confederacy, Robbery, Confederacy, Words, Confederacy, Confederacy, Killing, Military action, Confederacy, Confederacy, Robbery, Confederacy, Confederacy, Confederacy, Killing, Confederacy, Killing, Confederacy, Confederacy, Confederacy, Captivity, Confederacy, Captivity, Confederacy, Confederacy","John Banfield, John ffowles, John Bowles, Cornelius Carty, William Sherill, Antony Coates, Samuell More, William Jones, Mary Jennines, Samson Moore, Richard Phipps, Richard Hawes, James Pearce, William Sargant, James Butten, Thomas Goodchilde, Abiall Nash, George Tanner, John Braly"
Banduff,Benduff,An Bhinn Dubh,51.5986,-9.06802,"Military action, Military action, Military action, Military action, Military action, Military action","fflorence Carthy, ffenine McDaniell Carthy"
Bantry,Bantry,Beanntraí,51.6818,-9.44536,"Confederacy, Confederacy","O Sooliun Beere, Daniell o Leary"
Bealaanurr,Ballinoroher,Béal Átha an Urchair,51.6438,-8.82255,"Military action, Multiple killing",Macnecruining
Bockers,Buckree,Bocraí,51.7762,-9.01708,"Military action, Military action, Military action",Dauid McTeige O Cruoly
Bodderinne,Buddrimeen,Both Doire Mín,51.7124,-8.98753,"Military action, Military action, Military action",Donogh O'Coghlane
Bollteinane,Balteen,An Bailtín,51.5089,-9.60713,Military action,Charles Mcffenine Carthy
Brughelles,Brahalish,Braichlis,51.6202,-9.57871,"Military action, Military action, Military action, Military action, Military action, Military action","fflorence oge McCarthy, Teige Mcffenine Carthy"
Bruiey Breeny,Breeny Beg/More,Na Bruíne Beaga/Móra,51.7464,-9.38226,Military action,Donnah Murphy
Burrane,Burrane,Barrán,51.6652,-8.76834,"Confederacy, Confederacy, Confederacy",John Mc Daniell McTeige o Croaly
Cahera,Cahir,An Chathair,51.742,-9.00612,"Confederacy, Confederacy, Confederacy",Teige McDermond Backah o Croaly
Cahirkirkie,Caherkirky,Cathair Chirce,51.6832,-8.98733,"Military action, Military action, Military action, Confederacy, Confederacy, Confederacy",Owen mcDonogh Carthy
Cahirwalder,Carhoovauler,Ceathrú Bhaldair,51.6884,-8.95666,"Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action","Dermond O Canty, Cornelius O'Canty, Teige o Canty"
Cappine,Cappeen,Caipín,51.635,-8.88849,"Confederacy, Confederacy, Confederacy",Daniell Carthy alias Glannagh
Cargliffe,Carhoogarriff,An Cheathrú Gharbh,51.6207,-9.10306,"Military action, Military action, Military action","Tege oge Carty alias donevand, Morgane o Dooniuane"
carrigeAMucke,Carrignamuck,Carraig na Muc,51.926,-8.76152,"Assault, Confederacy",Cormac alias Charles McCarthy
Carrigeganuoy,Carrig,An Charraig,51.6584,-8.83993,"Military action, Military action, Military action",Daniell McDonnogh Carthy
Cashelfear,Cashelfean,Caiseal Fiann,51.5702,-9.60471,"Military action, Military action",fflorence mcEnise Driscoll
Castle Maine,Castlemaine,Caisleán na Mainge,52.168,-9.70256,Military action,ffeinine mcDaniell Carthy
Castle=Dooniuane,Castledonovan,Caisleán Uí Dhonnabháin,51.693,-9.28156,"Military action, Military action, Military action, Military action, Military action, Military action","Daniell oge o Dooniuane, Daniell O'Donnauane"
Castlehaven parish,Castlehaven,Gleann Bearcháin,51.5239,-9.22209,"Killing, Robbery, Lost by debts, Military action, Military action, Assault, Captivity, Multiple killing, Stripping","Thomas Dodgin, John Racklife, Richard Heard"
CastleMcAwlife,Castlemcauliffe,Caisleán Mhic Amhlaoibh,52.1946,-9.01964,"Captivity, Confederacy",Teige McAwlife
CastleMoore,Castlemore,An Caisleán Mór,51.8503,-8.80944,Confederacy,Charles Mc Carthy
Castletowne,Castletown,Baile an Chaisleáin,51.7655,-8.94796,,Richard Shute
Clonakilty,Clonakilty,Cloich na Coillte,51.624,-8.89273,"Killing, Robbery, Lost by debts, Apostacy, Robbery, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Military action, Multiple killing, Robbery, Lost by debts","Henry Euens, Danniell O Sasna, Nicholas Bellewes, James Chapman, Mr ffisher, [English of Clonakilty], Thomas Linscome, Thomas Sermon, [child of] John Burrows, [wife of] John Burrows"
Clonecallbeg,Clooncallabeg,Cluain Calaidh Beag,51.6546,-8.73174,"Confederacy, Confederacy, Confederacy",Teige Carthy
Cnock na Caphull,Knocknagapul,Cnoc na gCapall,51.7223,-8.63292,"Military action, Military action, Military action",Manus McShehy
Cnockilstoky,Knocknastooka,Cnoc na Stuaice,51.7093,-8.8634,"Military action, Military action, Military action",Donogh McDermond
Cork,Cork,Corcaigh,51.8956,-8.47523,"Military action, Military action, Confederacy","John Oliuer, Christopher Holcombe, James Clarke"
Cornody,Cronody,Cora an Ódaigh,51.9058,-8.72047,"Robbery, Confederacy",[father of] Richard Hawes
Corrycrouely,Curraghcrowly East/West,Currach Uí Chrualaoich Thoir/Thiar,51.7313,-8.93085,"Arson, Robbery, Lost by debts, Military action, Military action, Military action","Peregrine Banaster, ffelim Carty"
Courtebrack,Courtbrack,An Chúirt Bhreac,51.9768,-8.64678,"Military action, Confederacy",Charles alias Cormac McDonnogh Carthy
Courtny Connaghty,Coolnaconarty,Cúil na Conairte,51.6647,-9.00511,"Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Confederacy, Confederacy, Confederacy, Confederacy",Eneas Callanan
Creeboy,Creboy,An Cré Buí,51.564,-8.91815,Confederacy,William Mcffeinine
Croghane,Crohane /East/West,An Cruacháin /Thoir/Thiar,51.676,-8.90925,"Military action, Military action, Military action, Military action, Military action, Military action","Owen McCarthy, Cornelius McDaniell Carthy"
Crook hauen,Crookhaven,An Cruachán,51.4674,-9.71853,"Arson, Robbery, Words, Lost by debts",
Cummur,Coomarkane,Com Earcáin,51.7358,-9.62147,Military action,Dermond McDan: Sooliuane
Curry miller,Curragh,An Currach,51.5624,-9.27303,"Multiple killing, Robbery, Succour",John McTeige alias mcTeige
Derriuyline,Derrymeeleen,Doire Mhaoilín,51.7173,-8.92756,"Military action, Military action, Military action",fflorence McDaniell Carthy
Derrylea,Derryleigh,Doire Liath,51.5638,-9.21042,"Killing, Robbery, Lost by debts",John Ratcliffe
Derrysennalary,Derryleary,Doire Uí Laoire,51.5012,-9.62635,Confederacy,Don. McDermond Carthy
Desert,Oldabbey,Baile Uí Mhacadáin,51.8385,-8.58037,"Robbery, Confederacy, Confederacy",Daniell McTeige Carty alias McDaniell
Desertserges,Desertserges,An Díseart,51.7048,-8.88499,Robbery,William Reacrafte
Dirry,Derry,Doire,51.7077,-8.92715,Military action,ffenine McDermond Carthy
Doundeady,Dundeady,Dún dTéide,51.5378,-8.94933,"Captivity, Military action, Confederacy",John oge Barry
Downebacke,Dunbeacon,Dún Béacáin,51.5939,-9.56348,"Confederacy, Confederacy, Confederacy",Dermond McCarthy alias Ni Glack
Downelonge,"Dunalong Castle, Farranacoush (Sherkin Island)",Dún na Long,51.47853036,-9.400685611,"Military action, Military action, Military action, Confederacy, Confederacy, Confederacy","Cnogher O Driskall, Donogh oge Driskull"
downemanas,Dunmanus West/East,Dún Mánais Thiar/Thoir,51.5364,-9.6736,"Arson, Robbery, Words, Lost by debts",dermod mc Cartie alas Iglock
Drish Shane,Drishane More/Beg,An Driseán Mór/Beag,52.0744,-9.04852,Confederacy,Donogh McOwen Carthy
Dromgarrafe,Dromgarvan,Drom Garbháin,51.696,-9.71782,"Military action, Military action, Multiple killing, Words, Investigative","Danniel McOwen Sooliuane, Daniell Hurly"
dromticlogh,Dromidiclogh /West,Drom an Tí Cloiche /Thiar,51.7394,-8.98066,"Military action, Military action, Military action, Robbery","Teige McDauid o Croaly, John Nenelocke"
Drumderan,Dromderaown,Drom idir Dhá Abhainn,51.7598,-9.52931,Military action,Owen McCnogher Suliuane
Drumfeagh,Dromfeagh,Drom Fia,51.7638,-9.01779,"Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Confederacy, Confederacy, Confederacy","Teige oge Crouly, Dauid o Croaly, Cornelius O Croaly"
Drumirke,Dromerk,Drom Eirc,51.7478,-9.07353,"Military action, Military action, Military action",Diermott McAwlife o Croaly
Drumlegath,Kill North/Soth,An Chill Thuaidh/Theas,51.7011,-8.89403,"Military action, Military action, Military action, Military action, Military action, Military action","Calluhane McOwen Carthy, Cahir O Callahane"
